Initial Money:2.5
Risk Free Rate:0.04
Month to Expiry:0
Roll Over Day:0
,Delta20,Delta30
20140826,0.09288000000000007,0.09140000000000006
20140827,0.09367999999999999,0.08852000000000002
20140828,0.09168000000000003,0.08667999999999995
20140829,0.09156000000000004,0.08684000000000003
20140901,0.09420000000000002,0.08940000000000001
20140902,0.09560000000000005,0.09008000000000002
20140903,0.10728,0.10167999999999999
20140904,0.11180000000000004,0.10579999999999998
20140905,0.11871999999999998,0.11023999999999994
20140909,0.12023999999999999,0.11239999999999997
20140910,0.11387999999999998,0.10819999999999999
20140911,0.11255999999999995,0.10739999999999998
20140912,0.11268000000000003,0.10604000000000005
20140915,0.11216,0.10775999999999994
20140916,0.10687999999999995,0.10339999999999998
20140917,0.10579999999999998,0.10227999999999993
20140918,0.10591999999999997,0.10267999999999997
20140919,0.10919999999999996,0.10503999999999998
20140922,0.09908000000000002,0.09615999999999998
20140923,0.10023999999999997,0.09779999999999997
20140924,0.10147999999999993,0.09823999999999992
20140925,0.11372,0.11175999999999994
20140926,0.10891999999999999,0.10768000000000004
20140929,0.11147999999999998,0.11079999999999997
20140930,0.11419999999999994,0.11191999999999994
20141008,0.11571999999999996,0.11452
20141009,0.11864,0.11736000000000005
20141010,0.11580000000000004,0.11564000000000005
20141013,0.10852000000000003,0.10987999999999998
20141014,0.10812,0.10976
20141015,0.10751999999999998,0.10932000000000004
20141016,0.11120000000000001,0.11299999999999999
20141017,0.10763999999999996,0.10991999999999998
20141020,0.11200000000000002,0.11467999999999998
20141021,0.11080000000000005,0.11364
20141022,0.11052,0.11323999999999997
20141023,0.10696000000000003,0.10987999999999998
20141024,0.10591999999999997,0.10876000000000001
20141027,0.0968,0.10008000000000009
20141028,0.09852000000000008,0.10168000000000008
20141029,0.10860000000000003,0.11188000000000002
20141030,0.11379999999999998,0.11763999999999993
20141031,0.12060000000000004,0.1202
20141103,0.13144,0.12988
20141104,0.12884,0.12959999999999994
20141105,0.12712000000000004,0.12688000000000005
20141106,0.12555999999999995,0.12611999999999995
20141107,0.12764000000000006,0.12800000000000003
20141110,0.13456,0.13292
20141111,0.14828000000000002,0.14284000000000008
20141112,0.14596,0.14708000000000004
20141113,0.15860000000000002,0.1532
20141114,0.15440000000000004,0.14792000000000005
20141117,0.13739999999999997,0.13536
20141118,0.12884,0.12780000000000005
20141119,0.12535999999999997,0.12539999999999996
20141120,0.12328000000000001,0.12384000000000003
20141121,0.12632000000000004,0.12264
20141124,0.14320000000000005,0.13196000000000002
20141125,0.15255999999999997,0.13756000000000004
20141126,0.16219999999999998,0.16604000000000002
20141127,0.17703999999999995,0.18087999999999999
20141128,0.17107999999999998,0.17492000000000002
20141201,0.19824000000000003,0.20207999999999995
20141202,0.15515999999999996,0.15899999999999997
20141203,0.17275999999999997,0.1766
20141204,0.1418399999999999,0.14567999999999995
20141205,0.16824000000000003,0.17208000000000007
20141208,0.16467999999999988,0.16851999999999992
20141209,0.10611999999999995,0.10995999999999988
20141210,0.15443999999999997,0.15827999999999998
20141211,0.18843999999999994,0.19227999999999995
20141212,0.19039999999999999,0.19424000000000002
20141215,0.1813600000000001,0.18520000000000003
20141216,0.17148000000000002,0.17531999999999998
20141217,0.19383999999999996,0.1976799999999999
20141218,0.21028000000000002,0.21412000000000014
20141219,0.19196,0.19580000000000003
20141222,0.17767999999999998,0.18152
20141223,0.19504000000000002,0.19888000000000003
20141224,0.18892000000000006,0.1927600000000001
20141225,0.1809199999999999,0.18279999999999993
20141226,0.20044000000000003,0.1943600000000001
20141229,0.22332000000000002,0.21891999999999995
20141230,0.2540799999999999,0.24331999999999993
20141231,0.26079999999999987,0.25052
