Initial Money:0.625
Risk Free Rate:0.04
Month to Expiry:0
Roll Over Day:0
,Delta20,Delta25,Delta30
20140429,0.03568,0.03839999999999999,0.05920000000000001
20140430,0.036,0.03712,0.05792000000000001
20140505,0.025279999999999997,0.025439999999999997,0.04624000000000002
20140506,0.025439999999999997,0.014559999999999995,0.035360000000000016
20140507,0.03024,0.009759999999999991,0.03056000000000001
20140508,0.031039999999999995,0.02175999999999999,0.04256000000000001
20140509,0.04976,0.06416,0.08496000000000001
20140512,0.06208,0.08175999999999999,0.10256000000000001
20140513,0.06208,0.08368,0.10448000000000002
20140514,0.06527999999999999,0.08127999999999999,0.10208000000000002
20140515,0.06527999999999999,0.08368,0.10448000000000002
20140516,0.06576,0.08448,0.10528000000000001
20140519,0.06255999999999999,0.0776,0.09840000000000002
20140520,0.06048,0.07087999999999998,0.09168000000000001
20140521,0.05888,0.08912,0.10992000000000002
20140522,0.06832,0.09263999999999999,0.11344000000000001
20140523,0.06992,0.09759999999999999,0.11840000000000002
20140526,0.06848,0.10144,0.12224000000000002
20140527,0.06848,0.10207999999999999,0.12288000000000002
20140528,0.07008,0.10447999999999999,0.12528
20140529,0.0792,0.11359999999999999,0.13440000000000002
20140530,0.07728,0.11167999999999997,0.13248
20140603,0.0792,0.11359999999999999,0.13440000000000002
20140604,0.0784,0.11279999999999998,0.1336
20140605,0.07968,0.11407999999999999,0.13488
20140606,0.07488,0.10928,0.13008000000000003
20140609,0.07904,0.11343999999999999,0.13424
20140610,0.08144,0.11583999999999998,0.13664
20140611,0.08127999999999999,0.11567999999999998,0.13648
20140612,0.08528,0.11967999999999998,0.14048
20140613,0.05088,0.08528,0.10608
20140616,0.06688000000000001,0.10128,0.12208000000000001
20140617,0.0848,0.1192,0.14
20140618,0.08608,0.12047999999999999,0.14128000000000002
20140619,0.08448,0.11887999999999999,0.13968
20140620,0.08608,0.12047999999999999,0.14128000000000002
20140623,0.08704,0.12143999999999999,0.14224
20140624,0.08656,0.12095999999999998,0.14176
20140625,0.08768000000000001,0.12208,0.14288
20140626,0.08928,0.12367999999999998,0.14704
20140627,0.09024,0.12464,0.14608
20140630,0.09312000000000001,0.12752,0.15216000000000002
20140701,0.09215999999999999,0.12655999999999998,0.14928
20140702,0.09312000000000001,0.12752,0.15984
20140703,0.09808,0.13248,0.15952
20140704,0.09984,0.13423999999999997,0.16448000000000002
20140707,0.0992,0.1336,0.16512
20140708,0.09808,0.13248,0.16496
20140709,0.09808,0.13248,0.16032
20140710,0.10256000000000001,0.13696,0.16784
20140711,0.1048,0.1392,0.1704
20140714,0.1056,0.13999999999999999,0.17984
20140715,0.10608,0.14048,0.17824
20140716,0.10655999999999999,0.14095999999999997,0.17664
20140717,0.10672,0.14111999999999997,0.17504
20140718,0.10672,0.14111999999999997,0.17824
20140721,0.10640000000000001,0.14079999999999998,0.18112
20140722,0.10672,0.14111999999999997,0.18031999999999998
20140723,0.10688,0.14128,0.18144
20140724,0.11199999999999999,0.14639999999999997,0.19408
20140725,0.11583999999999998,0.15023999999999998,0.20096000000000003
20140728,0.11887999999999999,0.15327999999999997,0.2072
20140729,0.11807999999999999,0.15247999999999998,0.21008
20140730,0.11871999999999998,0.15311999999999998,0.21024000000000004
20140731,0.11951999999999999,0.15391999999999997,0.21280000000000002
20140801,0.11839999999999999,0.1528,0.20912000000000003
