Initial Money:0.625
Risk Free Rate:0.04
Month to Expiry:0
Roll Over Day:0
,Delta20,Delta30
20141014,0.10208000000000002,0.18415999999999993
20141015,0.10272,0.18527999999999994
20141016,0.10224000000000003,0.18591999999999995
20141017,0.1024,0.18511999999999995
20141020,0.10272,0.18799999999999994
20141021,0.1056,0.18815999999999994
20141022,0.10576,0.18831999999999996
20141023,0.10608000000000002,0.18607999999999994
20141024,0.10448000000000002,0.18335999999999994
20141027,0.10352000000000001,0.17343999999999996
20141028,0.10576,0.18159999999999993
20141029,0.11008000000000003,0.19503999999999994
20141030,0.11232000000000002,0.19535999999999992
20141031,0.11744000000000002,0.20831999999999992
20141103,0.11616000000000001,0.20895999999999995
20141104,0.11744000000000002,0.20607999999999996
20141105,0.12096000000000003,0.21167999999999995
20141106,0.12320000000000002,0.2119999999999999
20141107,0.11664000000000001,0.20671999999999993
20141110,0.12176000000000002,0.21471999999999994
20141111,0.12304000000000001,0.20303999999999994
20141112,0.12144000000000002,0.21935999999999994
20141113,0.12448000000000001,0.22095999999999996
20141114,0.12384000000000002,0.22191999999999995
20141117,0.11872000000000002,0.21759999999999993
20141118,0.12288000000000002,0.21455999999999995
20141119,0.12432000000000001,0.21439999999999992
20141120,0.12256000000000003,0.21759999999999993
20141121,0.12432000000000001,0.22095999999999996
20141124,0.12416000000000002,0.22255999999999995
20141125,0.12416000000000002,0.21647999999999995
20141126,0.12464000000000001,0.22271999999999995
20141127,0.12800000000000003,0.22959999999999994
20141128,0.13088000000000002,0.23503999999999997
20141201,0.13024000000000002,0.23503999999999997
20141202,0.13104000000000002,0.23663999999999996
20141203,0.13104000000000002,0.23663999999999996
20141204,0.12848,0.22111999999999993
20141205,0.13136,0.22991999999999996
20141208,0.12144000000000002,0.23135999999999995
20141209,0.10400000000000001,0.22831999999999994
20141210,0.11152000000000002,0.23199999999999993
20141211,0.12976000000000001,0.23487999999999992
20141212,0.1264,0.19551999999999997
20141215,0.1136,0.22079999999999994
20141216,0.12224000000000002,0.22719999999999993
20141217,0.12880000000000003,0.23551999999999995
20141218,0.07760000000000002,0.20319999999999996
20141219,0.1048,0.22479999999999994
20141222,0.13088000000000002,0.23615999999999998
20141223,0.13136,0.23695999999999998
20141224,0.13152,0.23711999999999994
20141225,0.13520000000000001,0.24015999999999998
20141226,0.15216000000000002,0.25808
20141229,0.14416,0.24608
20141230,0.17648000000000003,0.30495999999999995
20141231,0.17616,0.3112
